ts_iso,ts_ms,close,eq_supertrend,eq_bb_squeeze,eq_sma_trend,eq_sma_cross,eq_donchian,eq_trend_200,eq_rsi_revert,eq_macd,eq_keltner,eq_pctb_revert,eq_roc_mom,eq_obv_slope,in_supertrend,in_bb_squeeze,in_sma_trend,in_sma_cross,in_donchian,in_trend_200,in_rsi_revert,in_macd,in_keltner,in_pctb_revert,in_roc_mom,in_obv_slope
2026-08-22T17:00:00+00:00,1787418000000,0.2281,1000.0,1000.0,1000.0,1000.0,998.5007,998.5007,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,1,1,0,0,0,0,0,0
2026-08-22T18:00:00+00:00,1787421600000,0.2294,1000.0,1000.0,1000.0,1000.0,1004.1915,1004.1915,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,1,1,0,0,0,0,0,0
2026-08-23T05:00:00+00:00,1787461200000,0.2148,1000.0,1000.0,1000.0,1000.0,938.8705,940.2804,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,1,0,0,0,0,0,0
2026-08-24T18:00:00+00:00,1787594400000,0.2198,1000.0,1000.0,1000.0,1000.0,938.8705,960.725,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24T18:00:00+00:00,1787594400000,0.2198,1000.0,1000.0,1000.0,1000.0,938.8705,960.725,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24T19:00:00+00:00,1787598000000,0.2189,1000.0,1000.0,1000.0,1000.0,938.8705,960.725,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24T20:00:00+00:00,1787601600000,0.22,1000.0,1000.0,1000.0,1000.0,938.8705,960.725,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24T21:00:00+00:00,1787605200000,0.2215,1000.0,1000.0,1000.0,1000.0,938.8705,959.2846,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,1,0,0,0,0,0,0
2026-08-24T22:00:00+00:00,1787608800000,0.22,1000.0,1000.0,1000.0,1000.0,938.8705,951.3596,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24T23:00:00+00:00,1787612400000,0.2215,1000.0,1000.0,1000.0,1000.0,938.8705,949.9333,1000.0,998.5007,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,1,0,1,0,0,0,0
2026-08-25T00:00:00+00:00,1787616000000,0.2252,1000.0,1000.0,1000.0,1000.0,938.8705,965.8013,1000.0,1015.18,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,1,0,1,0,0,0,0
2026-08-25T01:00:00+00:00,1787619600000,0.2242,1000.0,1000.0,1000.0,1000.0,938.8705,961.5126,1000.0,1010.6721,1000.0,1000.0,998.5007,1000.0,0,0,0,0,0,1,0,1,0,0,1,0
2026-08-25T02:00:00+00:00,1787623200000,0.2265,1000.0,1000.0,1000.0,1000.0,937.4629,971.3765,1000.0,1021.0403,1000.0,1000.0,1008.7441,1000.0,0,0,0,0,1,1,0,1,0,0,1,0
2026-08-25T03:00:00+00:00,1787626800000,0.2258,1000.0,1000.0,998.5007,998.5007,934.5656,968.3744,1000.0,1017.8847,1000.0,1000.0,1005.6265,1000.0,0,0,1,1,1,1,0,1,0,0,1,0
2026-08-25T04:00:00+00:00,1787630400000,0.2255,1000.0,1000.0,997.1741,997.1741,933.3239,967.0879,1000.0,1016.5324,1000.0,1000.0,1004.2905,1000.0,0,0,1,1,1,1,0,1,0,0,1,0
2026-08-25T05:00:00+00:00,1787634000000,0.2269,1000.0,1000.0,1003.365,1003.365,939.1184,973.0919,1000.0,1022.8434,1000.0,1000.0,1010.5255,1000.0,0,0,1,1,1,1,0,1,0,0,1,0
2026-08-25T06:00:00+00:00,1787637600000,0.2235,1000.0,1000.0,988.33,988.33,925.0461,958.5106,1000.0,1007.5166,1000.0,1000.0,995.3832,1000.0,0,0,1,1,1,1,0,1,0,0,1,0
2026-08-25T07:00:00+00:00,1787641200000,0.2209,1000.0,1000.0,976.8327,976.8327,914.285,945.9396,1000.0,995.796,1000.0,1000.0,983.8038,1000.0,0,0,1,1,1,0,0,1,0,0,1,0
