ts_iso,ts_ms,close,eq_supertrend,eq_bb_squeeze,eq_sma_trend,eq_sma_cross,eq_donchian,eq_trend_200,eq_rsi_revert,eq_macd,eq_keltner,eq_pctb_revert,eq_roc_mom,eq_obv_slope,in_supertrend,in_bb_squeeze,in_sma_trend,in_sma_cross,in_donchian,in_trend_200,in_rsi_revert,in_macd,in_keltner,in_pctb_revert,in_roc_mom,in_obv_slope
2026-08-22T15:00:00+00:00,1787410800000,2410.9,1000.0,1000.0,1000.0,1000.0,1000.0,998.5007,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,1,0,0,0,0,0,0
2026-08-22T16:00:00+00:00,1787414400000,2422.63,1000.0,1000.0,1000.0,1000.0,1000.0,1003.3589,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,1,0,0,0,0,0,0
2026-08-22T17:00:00+00:00,1787418000000,2426.32,1000.0,1000.0,1000.0,1000.0,1000.0,1004.8871,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,1,0,0,0,0,0,0
2026-08-22T18:00:00+00:00,1787421600000,2427.13,1000.0,1000.0,1000.0,1000.0,1000.0,1005.2226,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,1,0,0,0,0,0,0
2026-08-23T05:00:00+00:00,1787461200000,2372.99,1000.0,1000.0,1000.0,1000.0,1000.0,982.7999,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,1,0,0,0,0,0,0
2026-08-24T18:00:00+00:00,1787594400000,2473.84,1000.0,998.5007,998.5007,998.5007,998.5007,1024.568,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,1,1,1,1,1,0,0,0,0,0,0
2026-08-24T18:00:00+00:00,1787594400000,2473.84,1000.0,998.5007,998.5007,998.5007,998.5007,1024.568,1000.0,1000.0,1000.0,1000.0,998.5007,998.5007,0,1,1,1,1,1,0,0,0,0,1,1
2026-08-24T19:00:00+00:00,1787598000000,2471.4,1000.0,997.5159,997.5159,997.5159,997.5159,1023.5575,1000.0,1000.0,1000.0,1000.0,997.5159,997.5159,0,1,1,1,1,1,0,0,0,0,1,1
2026-08-24T20:00:00+00:00,1787601600000,2475.16,1000.0,999.0335,999.0335,999.0335,999.0335,1025.1147,1000.0,1000.0,1000.0,1000.0,999.0335,999.0335,0,1,1,1,1,1,0,0,0,0,1,1
2026-08-24T21:00:00+00:00,1787605200000,2483.56,1000.0,1002.424,1002.424,1002.424,1002.424,1028.5937,1000.0,1000.0,1000.0,1000.0,1002.424,1002.424,0,1,1,1,1,1,0,0,0,0,1,1
2026-08-24T22:00:00+00:00,1787608800000,2474.26,1000.0,998.6703,998.6703,998.6703,998.6703,1024.742,1000.0,1000.0,1000.0,1000.0,998.6703,998.6703,0,1,1,1,1,1,0,0,0,0,1,1
2026-08-24T23:00:00+00:00,1787612400000,2482.31,1000.0,1001.9194,1001.9194,1001.9194,1001.9194,1028.076,1000.0,1000.0,1000.0,1000.0,1001.9194,1001.9194,0,1,1,1,1,1,0,0,0,0,1,1
