ts_iso,ts_ms,close,eq_supertrend,eq_bb_squeeze,eq_sma_trend,eq_sma_cross,eq_donchian,eq_trend_200,eq_rsi_revert,eq_macd,eq_keltner,eq_pctb_revert,eq_roc_mom,eq_obv_slope,in_supertrend,in_bb_squeeze,in_sma_trend,in_sma_cross,in_donchian,in_trend_200,in_rsi_revert,in_macd,in_keltner,in_pctb_revert,in_roc_mom,in_obv_slope
2026-08-22T17:00:00+00:00,1787418000000,4.1e-06,998.5007,1000.0,998.5007,998.5007,998.5007,998.5007,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,1,1,1,1,0,0,0,0,0,0
2026-08-22T18:00:00+00:00,1787421600000,4.07e-06,991.1946,1000.0,991.1946,991.1946,991.1946,991.1946,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,1,1,1,1,0,0,0,0,0,0
2026-08-23T05:00:00+00:00,1787461200000,3.93e-06,957.0995,1000.0,955.6643,955.6643,955.6643,957.0995,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,0,0,0,0,0
2026-08-24T18:00:00+00:00,1787594400000,4.01e-06,976.5824,1000.0,954.2315,954.2315,954.2315,976.5824,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,1,1,1,1,0,0,0,0,0,0
2026-08-24T18:00:00+00:00,1787594400000,4.01e-06,976.5824,1000.0,954.2315,954.2315,954.2315,976.5824,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,1,1,1,1,0,0,0,0,0,0
2026-08-24T19:00:00+00:00,1787598000000,4e-06,974.1471,1000.0,951.8519,951.8519,951.8519,974.1471,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,1,1,1,1,0,0,0,0,0,0
2026-08-24T20:00:00+00:00,1787601600000,4.03e-06,981.4532,1000.0,958.9908,958.9908,958.9908,981.4532,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,1,1,1,1,0,0,0,0,0,0
2026-08-24T21:00:00+00:00,1787605200000,4.04e-06,983.8885,1000.0,961.3704,961.3704,961.3704,983.8885,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,1,1,1,1,0,0,0,0,0,0
2026-08-24T22:00:00+00:00,1787608800000,4.01e-06,976.5824,1000.0,952.8007,952.8007,954.2315,976.5824,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,1,1,0,0,0,0,0,0
2026-08-24T23:00:00+00:00,1787612400000,4.05e-06,986.3239,1000.0,952.8007,952.8007,963.7501,986.3239,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,1,1,0,0,0,0,0,0
2026-08-25T00:00:00+00:00,1787616000000,4.13e-06,1005.8069,1000.0,952.8007,952.8007,982.7871,1005.8069,1000.0,998.5007,1000.0,1000.0,1000.0,998.5007,1,0,0,0,1,1,0,1,0,0,0,1
2026-08-25T01:00:00+00:00,1787619600000,4.1e-06,998.5007,1000.0,952.8007,952.8007,975.6482,998.5007,1000.0,991.2477,1000.0,1000.0,998.5007,991.2477,1,0,0,0,1,1,0,1,0,0,1,1
2026-08-25T02:00:00+00:00,1787623200000,4.19e-06,1020.4191,998.5007,952.8007,952.8007,997.0649,1020.4191,1000.0,1013.0068,1000.0,1000.0,1020.4191,1013.0068,1,1,0,0,1,1,0,1,0,0,1,1
2026-08-25T03:00:00+00:00,1787626800000,4.2e-06,1022.8544,1000.8838,951.3722,951.3722,999.4445,1022.8544,1000.0,1015.4245,1000.0,1000.0,1022.8544,1015.4245,1,1,1,1,1,1,0,1,0,0,1,1
2026-08-25T04:00:00+00:00,1787630400000,4.19e-06,1020.4191,998.5007,949.107,949.107,997.0649,1020.4191,1000.0,1013.0068,1000.0,1000.0,1020.4191,1013.0068,1,1,1,1,1,1,0,1,0,0,1,1
