ts_iso,ts_ms,close,eq_supertrend,eq_bb_squeeze,eq_sma_trend,eq_sma_cross,eq_donchian,eq_trend_200,eq_rsi_revert,eq_macd,eq_keltner,eq_pctb_revert,eq_roc_mom,eq_obv_slope,in_supertrend,in_bb_squeeze,in_sma_trend,in_sma_cross,in_donchian,in_trend_200,in_rsi_revert,in_macd,in_keltner,in_pctb_revert,in_roc_mom,in_obv_slope
2026-08-23T05:00:00+00:00,1787461200000,4.048,1000.0,1000.0,1000.0,1000.0,1000.0,998.5007,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,1,0,0,0,0,0,0
2026-08-24T18:00:00+00:00,1787594400000,4.264,998.5007,1000.0,1000.0,1000.0,1000.0,1051.7804,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,0,0,0,0,0
2026-08-24T18:00:00+00:00,1787594400000,4.264,998.5007,1000.0,1000.0,1000.0,1000.0,1051.7804,1000.0,1000.0,1000.0,998.5007,1000.0,1000.0,1,0,0,0,0,1,0,0,0,1,0,0
2026-08-24T19:00:00+00:00,1787598000000,4.268,999.4374,1000.0,1000.0,1000.0,1000.0,1052.7671,1000.0,1000.0,1000.0,999.4374,1000.0,1000.0,1,0,0,0,0,1,0,0,0,1,0,0
2026-08-24T20:00:00+00:00,1787601600000,4.298,1006.4625,1000.0,1000.0,1000.0,1000.0,1060.1671,1000.0,1000.0,1000.0,1006.4625,1000.0,1000.0,1,0,0,0,0,1,0,0,0,1,0,0
2026-08-24T21:00:00+00:00,1787605200000,4.309,1009.0384,1000.0,1000.0,1000.0,1000.0,1062.8804,1000.0,1000.0,1000.0,1009.0384,1000.0,1000.0,1,0,0,0,0,1,0,0,0,1,0,0
2026-08-24T22:00:00+00:00,1787608800000,4.284,1003.1841,1000.0,1000.0,1000.0,1000.0,1056.7137,1000.0,1000.0,1000.0,1003.1841,1000.0,1000.0,1,0,0,0,0,1,0,0,0,1,0,0
2026-08-24T23:00:00+00:00,1787612400000,4.333,1014.6585,1000.0,1000.0,1000.0,1000.0,1068.8003,1000.0,1000.0,1000.0,1014.6585,1000.0,1000.0,1,0,0,0,0,1,0,0,0,1,0,0
2026-08-25T00:00:00+00:00,1787616000000,4.346,1017.7027,1000.0,1000.0,1000.0,1000.0,1072.007,1000.0,1000.0,1000.0,1016.1766,1000.0,1000.0,1,0,0,0,0,1,0,0,0,0,0,0
2026-08-25T01:00:00+00:00,1787619600000,4.378,1025.1961,1000.0,1000.0,1000.0,1000.0,1079.9003,1000.0,998.5007,1000.0,1016.1766,1000.0,1000.0,1,0,0,0,0,1,0,1,0,0,0,0
