ts_iso,ts_ms,close,eq_supertrend,eq_bb_squeeze,eq_sma_trend,eq_sma_cross,eq_donchian,eq_trend_200,eq_rsi_revert,eq_macd,eq_keltner,eq_pctb_revert,eq_roc_mom,eq_obv_slope,in_supertrend,in_bb_squeeze,in_sma_trend,in_sma_cross,in_donchian,in_trend_200,in_rsi_revert,in_macd,in_keltner,in_pctb_revert,in_roc_mom,in_obv_slope
2026-08-24T18:00:00+00:00,1787594400000,5.828,998.5007,998.5007,998.5007,998.5007,998.5007,998.5007,1000.0,998.5007,998.5007,1000.0,998.5007,998.5007,1,1,1,1,1,1,0,1,1,0,1,1
2026-08-24T19:00:00+00:00,1787598000000,5.596,957.315,957.315,957.315,957.315,957.315,957.315,1000.0,957.315,957.315,1000.0,957.315,957.315,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24T20:00:00+00:00,1787601600000,5.697,957.315,957.315,957.315,957.315,957.315,957.315,1000.0,957.315,957.315,1000.0,957.315,957.315,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24T21:00:00+00:00,1787605200000,5.692,957.315,957.315,957.315,957.315,957.315,957.315,1000.0,957.315,957.315,1000.0,957.315,957.315,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24T22:00:00+00:00,1787608800000,5.627,957.315,957.315,957.315,957.315,957.315,957.315,1000.0,957.315,957.315,1000.0,957.315,957.315,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24T23:00:00+00:00,1787612400000,5.694,955.8797,955.8797,955.8797,955.8797,955.8797,955.8797,1000.0,957.315,955.8797,1000.0,955.8797,955.8797,1,1,1,1,1,1,0,0,1,0,1,1
2026-08-25T00:00:00+00:00,1787616000000,5.799,973.5066,973.5066,973.5066,973.5066,973.5066,973.5066,1000.0,957.315,973.5066,1000.0,973.5066,973.5066,1,1,1,1,1,1,0,0,1,0,1,1
2026-08-25T01:00:00+00:00,1787619600000,5.83,978.7107,978.7107,978.7107,978.7107,978.7107,978.7107,1000.0,955.8797,978.7107,1000.0,978.7107,978.7107,1,1,1,1,1,1,0,1,1,0,1,1
2026-08-25T02:00:00+00:00,1787623200000,5.958,1000.1987,1000.1987,1000.1987,1000.1987,1000.1987,1000.1987,1000.0,976.8664,1000.1987,1000.0,1000.1987,1000.1987,1,1,1,1,1,1,0,1,1,0,1,1
2026-08-25T03:00:00+00:00,1787626800000,5.912,992.4764,992.4764,992.4764,992.4764,992.4764,992.4764,1000.0,969.3243,992.4764,1000.0,992.4764,992.4764,1,1,1,1,1,1,0,1,1,0,1,1
2026-08-25T04:00:00+00:00,1787630400000,5.943,997.6806,997.6806,997.6806,997.6806,997.6806,997.6806,1000.0,974.407,997.6806,1000.0,997.6806,997.6806,1,1,1,1,1,1,0,1,1,0,1,1
2026-08-25T05:00:00+00:00,1787634000000,5.934,996.1697,996.1697,996.1697,996.1697,996.1697,996.1697,1000.0,972.9314,996.1697,1000.0,996.1697,996.1697,1,1,1,1,1,1,0,1,1,0,1,1
2026-08-25T06:00:00+00:00,1787637600000,5.87,985.4257,985.4257,985.4257,985.4257,985.4257,985.4257,1000.0,962.4381,985.4257,1000.0,985.4257,985.4257,1,1,1,1,1,1,0,1,1,0,1,1
2026-08-25T07:00:00+00:00,1787641200000,5.901,990.6298,990.6298,990.6298,990.6298,990.6298,990.6298,1000.0,966.07,990.6298,1000.0,990.6298,990.6298,1,1,1,1,1,1,0,0,1,0,1,1
2026-08-25T08:00:00+00:00,1787644800000,5.907,991.6371,991.6371,991.6371,991.6371,991.6371,991.6371,1000.0,966.07,991.6371,1000.0,991.6371,991.6371,1,1,1,1,1,1,0,0,1,0,1,1
2026-08-25T09:00:00+00:00,1787648400000,5.809,975.1853,975.1853,975.1853,975.1853,975.1853,975.1853,1000.0,966.07,975.1853,1000.0,975.1853,975.1853,1,1,1,1,1,1,0,0,1,0,1,1
2026-08-25T10:00:00+00:00,1787652000000,5.833,979.2143,979.2143,979.2143,979.2143,979.2143,979.2143,1000.0,966.07,979.2143,1000.0,979.2143,979.2143,1,1,1,1,1,1,0,0,1,0,1,1
2026-08-25T11:00:00+00:00,1787655600000,5.888,988.4474,988.4474,988.4474,988.4474,988.4474,988.4474,1000.0,966.07,988.4474,1000.0,988.4474,988.4474,1,1,1,1,1,1,0,0,1,0,1,1
2026-08-25T12:00:00+00:00,1787659200000,5.939,997.0091,997.0091,997.0091,997.0091,997.0091,997.0091,1000.0,966.07,997.0091,1000.0,997.0091,997.0091,1,1,1,1,1,1,0,0,1,0,1,1
2026-08-25T13:00:00+00:00,1787662800000,5.869,985.2578,985.2578,985.2578,985.2578,985.2578,985.2578,1000.0,966.07,985.2578,1000.0,985.2578,985.2578,1,1,1,1,1,1,0,0,1,0,1,1
2026-08-25T14:00:00+00:00,1787666400000,5.738,963.2662,961.8218,963.2662,963.2662,963.2662,963.2662,1000.0,966.07,961.8218,1000.0,963.2662,963.2662,1,0,1,1,1,1,0,0,0,0,1,1
2026-08-25T15:00:00+00:00,1787670000000,5.769,968.4703,961.8218,968.4703,968.4703,968.4703,968.4703,1000.0,966.07,961.8218,1000.0,968.4703,968.4703,1,0,1,1,1,1,0,0,0,0,1,1
2026-08-25T16:00:00+00:00,1787673600000,5.749,965.1128,961.8218,965.1128,965.1128,965.1128,965.1128,1000.0,966.07,961.8218,1000.0,963.6656,965.1128,1,0,1,1,1,1,0,0,0,0,0,1
2026-08-25T17:00:00+00:00,1787677200000,5.711,958.7336,961.8218,958.7336,958.7336,958.7336,958.7336,1000.0,966.07,961.8218,1000.0,963.6656,958.7336,1,0,1,1,1,1,0,0,0,0,0,1
